parcel_id,arrival_time,scanner_time,outfeed_enter,outfeed_exit,recirculations,num_outfeeds
1,0 days 00:00:01.212000,0 days 00:00:09.087000,0 days 00:00:12.837000,0 days 00:00:19.482995,0,3
2,0 days 00:00:03.068000,0 days 00:00:10.943000,0 days 00:00:14.693000,0 days 00:00:26.379851,0,3
3,0 days 00:00:16.932000,0 days 00:00:24.807000,0 days 00:00:28.557000,0 days 00:00:33.424143,0,3
4,0 days 00:00:18.731000,0 days 00:00:26.606000,0 days 00:00:30.356000,0 days 00:00:38.991611,0,3
5,0 days 00:00:20.813000,0 days 00:00:28.688000,0 days 00:00:32.438000,0 days 00:00:45.596308,0,3
6,0 days 00:00:26.414000,0 days 00:00:34.289000,0 days 00:00:44.289000,0 days 00:00:50.275805,0,3
7,0 days 00:00:29.630000,0 days 00:00:37.505000,0 days 00:00:41.255000,0 days 00:00:53.379689,0,3
8,0 days 00:00:30.959000,0 days 00:00:38.834000,0 days 00:00:42.584000,0 days 00:01:01.620592,0,3
9,0 days 00:00:32.477000,0 days 00:00:40.352000,0 days 00:00:44.102000,0 days 00:01:08.140161,0,3
10,0 days 00:00:34.259000,0 days 00:00:42.134000,0 days 00:00:49.009000,0 days 00:00:55.110851,0,3
11,0 days 00:00:37.512000,0 days 00:00:45.387000,0 days 00:00:55.387000,0 days 00:01:01.119948,0,3
12,0 days 00:00:39.517000,0 days 00:00:47.392000,0 days 00:00:57.392000,0 days 00:01:06.108558,0,3
14,0 days 00:00:44.346000,0 days 00:00:52.221000,0 days 00:00:55.971000,0 days 00:01:15.685056,0,3
15,0 days 00:00:53.214000,0 days 00:01:01.089000,0 days 00:01:04.839000,0 days 00:01:22.794643,0,3
16,0 days 00:00:00,0 days 00:00:07.875000,0 days 00:00:17.875000,0 days 00:00:26.139729,0,3
17,0 days 00:00:57.215000,0 days 00:01:05.090000,0 days 00:01:15.090000,0 days 00:01:21.646265,0,3
18,0 days 00:00:58.040000,0 days 00:01:05.915000,0 days 00:01:15.915000,0 days 00:01:26.788475,0,3
19,0 days 00:01:01.077000,0 days 00:01:08.952000,0 days 00:01:12.702000,0 days 00:01:30.495473,0,3
20,0 days 00:01:10.395000,0 days 00:01:18.270000,0 days 00:01:28.270000,0 days 00:01:33.724762,0,3
